"","start.date","end.date","debt.volume","relative_changethree","relative_changetwo","relative_changeone"
"73","2005-05-22 00:00:00","2005-05-28 00:00:00",20,-2.33333333333333,-2,-2
"74","2005-05-29 00:00:00","2005-06-04 00:00:00",21,-0.333333333333332,0,1
"75","2005-06-05 00:00:00","2005-06-11 00:00:00",20,-1,-0.5,-1
"76","2005-06-12 00:00:00","2005-06-18 00:00:00",23,2.66666666666667,2.5,3
"77","2005-06-19 00:00:00","2005-06-25 00:00:00",22,0.666666666666668,0.5,-1
"78","2005-06-26 00:00:00","2005-07-02 00:00:00",20,-1.66666666666667,-2.5,-2
"79","2005-07-03 00:00:00","2005-07-09 00:00:00",20,-1.66666666666667,-1,0
"80","2005-07-10 00:00:00","2005-07-16 00:00:00",22,1.33333333333333,2,2
"81","2005-07-17 00:00:00","2005-07-23 00:00:00",22,1.33333333333333,1,0
"82","2005-07-24 00:00:00","2005-07-30 00:00:00",21,-0.333333333333332,-1,-1
"83","2005-07-31 00:00:00","2005-08-06 00:00:00",21,-0.666666666666668,-0.5,0
"84","2005-08-07 00:00:00","2005-08-13 00:00:00",19,-2.33333333333333,-2,-2
"85","2005-08-14 00:00:00","2005-08-20 00:00:00",20,-0.333333333333332,0,1
"86","2005-08-21 00:00:00","2005-08-27 00:00:00",20,0,0.5,0
"87","2005-08-28 00:00:00","2005-09-03 00:00:00",21,1.33333333333333,1,1
"88","2005-09-04 00:00:00","2005-09-10 00:00:00",19,-1.33333333333333,-1.5,-2
"89","2005-09-11 00:00:00","2005-09-17 00:00:00",23,3,3,4
"90","2005-09-18 00:00:00","2005-09-24 00:00:00",23,2,2,0
"91","2005-09-25 00:00:00","2005-10-01 00:00:00",21,-0.666666666666668,-2,-2
"92","2005-10-02 00:00:00","2005-10-08 00:00:00",21,-1.33333333333333,-1,0
"93","2005-10-09 00:00:00","2005-10-15 00:00:00",22,0.333333333333332,1,1
"94","2005-10-16 00:00:00","2005-10-22 00:00:00",20,-1.33333333333333,-1.5,-2
"95","2005-10-23 00:00:00","2005-10-29 00:00:00",21,0,0,1
"96","2005-10-30 00:00:00","2005-11-05 00:00:00",21,0,0.5,0
"97","2005-11-06 00:00:00","2005-11-12 00:00:00",21,0.333333333333332,0,0
"98","2005-11-13 00:00:00","2005-11-19 00:00:00",22,1,1,1
"99","2005-11-20 00:00:00","2005-11-26 00:00:00",17,-4.33333333333333,-4.5,-5
"100","2005-11-27 00:00:00","2005-12-03 00:00:00",21,1,1.5,4
"101","2005-12-04 00:00:00","2005-12-10 00:00:00",21,1,2,0
"102","2005-12-11 00:00:00","2005-12-17 00:00:00",20,0.333333333333332,-1,-1
"103","2005-12-18 00:00:00","2005-12-24 00:00:00",15,-5.66666666666667,-5.5,-5
"104","2005-12-25 00:00:00","2005-12-31 00:00:00",18,-0.666666666666668,0.5,3
"105","2006-01-01 00:00:00","2006-01-07 00:00:00",23,5.33333333333333,6.5,5
"106","2006-01-08 00:00:00","2006-01-14 00:00:00",22,3.33333333333333,1.5,-1
"107","2006-01-15 00:00:00","2006-01-21 00:00:00",21,0,-1.5,-1
"108","2006-01-22 00:00:00","2006-01-28 00:00:00",21,-1,-0.5,0
"109","2006-01-29 00:00:00","2006-02-04 00:00:00",22,0.666666666666668,1,1
"110","2006-02-05 00:00:00","2006-02-11 00:00:00",23,1.66666666666667,1.5,1
"111","2006-02-12 00:00:00","2006-02-18 00:00:00",21,-1,-1.5,-2
"112","2006-02-19 00:00:00","2006-02-25 00:00:00",22,0,0,1
"113","2006-02-26 00:00:00","2006-03-04 00:00:00",21,-1,-0.5,-1
"114","2006-03-05 00:00:00","2006-03-11 00:00:00",22,0.666666666666668,0.5,1
"115","2006-03-12 00:00:00","2006-03-18 00:00:00",24,2.33333333333333,2.5,2
"116","2006-03-19 00:00:00","2006-03-25 00:00:00",24,1.66666666666667,1,0
"117","2006-03-26 00:00:00","2006-04-01 00:00:00",25,1.66666666666667,1,1
"118","2006-04-02 00:00:00","2006-04-08 00:00:00",23,-1.33333333333333,-1.5,-2
"119","2006-04-09 00:00:00","2006-04-15 00:00:00",23,-1,-1,0
"120","2006-04-16 00:00:00","2006-04-22 00:00:00",24,0.333333333333332,1,1
"121","2006-04-23 00:00:00","2006-04-29 00:00:00",23,-0.333333333333332,-0.5,-1
"122","2006-04-30 00:00:00","2006-05-06 00:00:00",21,-2.33333333333333,-2.5,-2
"123","2006-05-07 00:00:00","2006-05-13 00:00:00",22,-0.666666666666668,0,1
"124","2006-05-14 00:00:00","2006-05-20 00:00:00",21,-1,-0.5,-1
"125","2006-05-21 00:00:00","2006-05-27 00:00:00",21,-0.333333333333332,-0.5,0
"126","2006-05-28 00:00:00","2006-06-03 00:00:00",18,-3.33333333333333,-3,-3
"127","2006-06-04 00:00:00","2006-06-10 00:00:00",20,0,0.5,2
"128","2006-06-11 00:00:00","2006-06-17 00:00:00",20,0.333333333333332,1,0
"129","2006-06-18 00:00:00","2006-06-24 00:00:00",19,-0.333333333333332,-1,-1
"130","2006-06-25 00:00:00","2006-07-01 00:00:00",20,0.333333333333332,0.5,1
"131","2006-07-02 00:00:00","2006-07-08 00:00:00",20,0.333333333333332,0.5,0
"132","2006-07-09 00:00:00","2006-07-15 00:00:00",25,5.33333333333333,5,5
"133","2006-07-16 00:00:00","2006-07-22 00:00:00",24,2.33333333333333,1.5,-1
"134","2006-07-23 00:00:00","2006-07-29 00:00:00",22,-1,-2.5,-2
"135","2006-07-30 00:00:00","2006-08-05 00:00:00",20,-3.66666666666667,-3,-2
"136","2006-08-06 00:00:00","2006-08-12 00:00:00",19,-3,-2,-1
"137","2006-08-13 00:00:00","2006-08-19 00:00:00",21,0.666666666666668,1.5,2
"138","2006-08-20 00:00:00","2006-08-26 00:00:00",21,1,1,0
"139","2006-08-27 00:00:00","2006-09-02 00:00:00",19,-1.33333333333333,-2,-2
"140","2006-09-03 00:00:00","2006-09-09 00:00:00",19,-1.33333333333333,-1,0
"141","2006-09-10 00:00:00","2006-09-16 00:00:00",21,1.33333333333333,2,2
"142","2006-09-17 00:00:00","2006-09-23 00:00:00",20,0.333333333333332,0,-1
"143","2006-09-24 00:00:00","2006-09-30 00:00:00",22,2,1.5,2
"144","2006-10-01 00:00:00","2006-10-07 00:00:00",22,1,1,0
"145","2006-10-08 00:00:00","2006-10-14 00:00:00",22,0.666666666666668,0,0
"146","2006-10-15 00:00:00","2006-10-21 00:00:00",23,1,1,1
"147","2006-10-22 00:00:00","2006-10-28 00:00:00",22,-0.333333333333332,-0.5,-1
"148","2006-10-29 00:00:00","2006-11-04 00:00:00",22,-0.333333333333332,-0.5,0
"149","2006-11-05 00:00:00","2006-11-11 00:00:00",22,-0.333333333333332,0,0
"150","2006-11-12 00:00:00","2006-11-18 00:00:00",21,-1,-1,-1
"151","2006-11-19 00:00:00","2006-11-25 00:00:00",19,-2.66666666666667,-2.5,-2
"152","2006-11-26 00:00:00","2006-12-02 00:00:00",23,2.33333333333333,3,4
"153","2006-12-03 00:00:00","2006-12-09 00:00:00",22,1,1,-1
"154","2006-12-10 00:00:00","2006-12-16 00:00:00",20,-1.33333333333333,-2.5,-2
"155","2006-12-17 00:00:00","2006-12-23 00:00:00",18,-3.66666666666667,-3,-2
"156","2006-12-24 00:00:00","2006-12-30 00:00:00",18,-2,-1,0
"157","2006-12-31 00:00:00","2007-01-06 00:00:00",20,1.33333333333333,2,2
"158","2007-01-07 00:00:00","2007-01-13 00:00:00",22,3.33333333333333,3,2
"159","2007-01-14 00:00:00","2007-01-20 00:00:00",22,2,1,0
"160","2007-01-21 00:00:00","2007-01-27 00:00:00",25,3.66666666666667,3,3
"161","2007-01-28 00:00:00","2007-02-03 00:00:00",23,0,-0.5,-2
"162","2007-02-04 00:00:00","2007-02-10 00:00:00",22,-1.33333333333333,-2,-1
"163","2007-02-11 00:00:00","2007-02-17 00:00:00",22,-1.33333333333333,-0.5,0
"164","2007-02-18 00:00:00","2007-02-24 00:00:00",23,0.666666666666668,1,1
"165","2007-02-25 00:00:00","2007-03-03 00:00:00",22,-0.333333333333332,-0.5,-1
"166","2007-03-04 00:00:00","2007-03-10 00:00:00",24,1.66666666666667,1.5,2
"167","2007-03-11 00:00:00","2007-03-17 00:00:00",22,-1,-1,-2
"168","2007-03-18 00:00:00","2007-03-24 00:00:00",23,0.333333333333332,0,1
"169","2007-03-25 00:00:00","2007-03-31 00:00:00",24,1,1.5,1
"170","2007-04-01 00:00:00","2007-04-07 00:00:00",23,0,-0.5,-1
"171","2007-04-08 00:00:00","2007-04-14 00:00:00",23,-0.333333333333332,-0.5,0
"172","2007-04-15 00:00:00","2007-04-21 00:00:00",22,-1.33333333333333,-1,-1
"173","2007-04-22 00:00:00","2007-04-28 00:00:00",23,0.333333333333332,0.5,1
"174","2007-04-29 00:00:00","2007-05-05 00:00:00",24,1.33333333333333,1.5,1
"175","2007-05-06 00:00:00","2007-05-12 00:00:00",22,-1,-1.5,-2
"176","2007-05-13 00:00:00","2007-05-19 00:00:00",23,0,0,1
"177","2007-05-20 00:00:00","2007-05-26 00:00:00",21,-2,-1.5,-2
"178","2007-05-27 00:00:00","2007-06-02 00:00:00",21,-1,-1,0
"179","2007-06-03 00:00:00","2007-06-09 00:00:00",22,0.333333333333332,1,1
"180","2007-06-10 00:00:00","2007-06-16 00:00:00",23,1.66666666666667,1.5,1
"181","2007-06-17 00:00:00","2007-06-23 00:00:00",21,-1,-1.5,-2
"182","2007-06-24 00:00:00","2007-06-30 00:00:00",22,0,0,1
"183","2007-07-01 00:00:00","2007-07-07 00:00:00",20,-2,-1.5,-2
"184","2007-07-08 00:00:00","2007-07-14 00:00:00",23,2,2,3
"185","2007-07-15 00:00:00","2007-07-21 00:00:00",22,0.333333333333332,0.5,-1
"186","2007-07-22 00:00:00","2007-07-28 00:00:00",23,1.33333333333333,0.5,1
"187","2007-07-29 00:00:00","2007-08-04 00:00:00",23,0.333333333333332,0.5,0
"188","2007-08-05 00:00:00","2007-08-11 00:00:00",23,0.333333333333332,0,0
"189","2007-08-12 00:00:00","2007-08-18 00:00:00",22,-1,-1,-1
