start date,debt volume
2013-08-20 00:00:00,20
2013-08-21 00:00:00,20
2013-08-22 00:00:00,20
2013-08-23 00:00:00,21
2013-08-24 00:00:00,16
2013-08-25 00:00:00,15
2013-08-26 00:00:00,20
2013-08-27 00:00:00,24
2013-08-28 00:00:00,24
2013-08-29 00:00:00,22
2013-08-30 00:00:00,20
2013-08-31 00:00:00,13
2013-09-01 00:00:00,12
2013-09-02 00:00:00,14
2013-09-03 00:00:00,21
2013-09-04 00:00:00,22
2013-09-05 00:00:00,22
2013-09-06 00:00:00,20
2013-09-07 00:00:00,14
2013-09-08 00:00:00,14
2013-09-09 00:00:00,21
2013-09-10 00:00:00,23
2013-09-11 00:00:00,24
2013-09-12 00:00:00,23
2013-09-13 00:00:00,22
2013-09-14 00:00:00,15
2013-09-15 00:00:00,15
2013-09-16 00:00:00,24
2013-09-17 00:00:00,27
2013-09-18 00:00:00,26
2013-09-19 00:00:00,27
2013-09-20 00:00:00,26
2013-09-21 00:00:00,17
2013-09-22 00:00:00,17
2013-09-23 00:00:00,27
2013-09-24 00:00:00,27
2013-09-25 00:00:00,28
2013-09-26 00:00:00,31
2013-09-27 00:00:00,31
2013-09-28 00:00:00,23
2013-09-29 00:00:00,22
2013-09-30 00:00:00,38
2013-10-01 00:00:00,53
2013-10-02 00:00:00,48
2013-10-03 00:00:00,47
2013-10-04 00:00:00,42
2013-10-05 00:00:00,28
2013-10-06 00:00:00,30
2013-10-07 00:00:00,51
2013-10-08 00:00:00,71
2013-10-09 00:00:00,66
2013-10-10 00:00:00,61
2013-10-11 00:00:00,46
2013-10-12 00:00:00,33
2013-10-13 00:00:00,37
2013-10-14 00:00:00,54
2013-10-15 00:00:00,66
2013-10-16 00:00:00,100
2013-10-17 00:00:00,100
2013-10-18 00:00:00,43
2013-10-19 00:00:00,28
2013-10-20 00:00:00,26
2013-10-21 00:00:00,34
2013-10-22 00:00:00,31
2013-10-23 00:00:00,31
2013-10-24 00:00:00,28
2013-10-25 00:00:00,26
2013-10-26 00:00:00,17
2013-10-27 00:00:00,16
2013-10-28 00:00:00,25
2013-10-29 00:00:00,29
2013-10-30 00:00:00,29
2013-10-31 00:00:00,27
2013-11-01 00:00:00,21
2013-11-02 00:00:00,16
2013-11-03 00:00:00,17
2013-11-04 00:00:00,25
2013-11-05 00:00:00,27
2013-11-06 00:00:00,26
2013-11-07 00:00:00,26
2013-11-08 00:00:00,23
2013-11-09 00:00:00,15
2013-11-10 00:00:00,16
2013-11-11 00:00:00,23
2013-11-12 00:00:00,27
2013-11-13 00:00:00,26
2013-11-14 00:00:00,25
2013-11-15 00:00:00,24
2013-11-16 00:00:00,17
2013-11-17 00:00:00
2013-11-18 00:00:00
2013-11-19 00:00:00
